Number of procs: 16
Iter NtotElectrons NtotIons NtotPtcls Charge Pois Field Push Coll Full
0 1386 1323 2709 1.05927e-06 2.52614e-08 8.87546e-08 3.27962e-08 1.94278e-07 0.0162411
10000 5295 3972 9267 0.000551159 0.0219086 0.000644604 0.000210913 4.05458e-05 239.243
20000 10005 7422 17427 0.000577324 0.0307395 0.000687784 0.00037255 8.61044e-05 330.859
30000 15500 11657 27157 0.000610453 0.0307815 0.000741616 0.000564261 0.000148082 335.367
40000 22481 17378 39859 0.000944508 0.0311518 0.00143815 0.000967004 0.000261194 356.332
50000 28549 22193 50742 0.00072042 0.0312087 0.000910771 0.00118615 0.000271615 351.9
60000 36975 29358 66333 0.000782867 0.0317117 0.000993141 0.00154411 0.000347462 363.755
70000 43878 35333 79211 0.000861853 0.0319972 0.00109709 0.00198024 0.0004266 374.87
80000 49517 40770 90287 0.000921314 0.0321044 0.0011722 0.00228648 0.000494827 382.141
90000 55540 47153 102693 0.000977076 0.0321401 0.00125955 0.00282706 0.000556306 390.914
100000 61089 52615 113704 0.00102904 0.0321455 0.00133216 0.0031699 0.000617346 397.318
110000 64767 56610 121377 0.00106767 0.0321415 0.00138786 0.00343716 0.000651347 402.064
120000 70591 62550 133141 0.00110892 0.0321417 0.00145015 0.00407621 0.000723506 411.06
130000 75934 67851 143785 0.00115841 0.0321473 0.00152314 0.00458929 0.000803811 419.446
140000 79022 71100 150122 0.00118744 0.0321351 0.00157185 0.00487125 0.000858306 424.37
150000 82905 75232 158137 0.00121311 0.0321318 0.00161413 0.00511068 0.000916004 428.616
160000 87309 80144 167453 0.00125088 0.03213 0.00168377 0.00554692 0.000975054 435.447
170000 91070 83972 175042 0.00128409 0.032133 0.00174008 0.00588627 0.00100119 441.135
180000 93555 86459 180014 0.0013022 0.0321208 0.00176525 0.00609915 0.00102256 444.554
190000 96175 89469 185644 0.00131318 0.0321093 0.00179628 0.00628189 0.00108164 447.818
200000 100213 93632 193845 0.00137418 0.0321099 0.00187676 0.00660171 0.00113267 453.794
210000 103513 96705 200218 0.00136447 0.0321113 0.0019062 0.0069203 0.00114554 457.953
220000 105149 98406 203555 0.00138295 0.0321476 0.001938 0.0071099 0.00113722 461.108
230000 106042 99805 205847 0.0013889 0.0321372 0.00194953 0.00720301 0.0011503 462.876
240000 108781 102817 211598 0.00140422 0.0321502 0.00197617 0.00734278 0.00123511 466.343
250000 111969 105938 217907 0.00142444 0.0321461 0.00201491 0.00757851 0.00126842 470.26
260000 113583 107391 220974 0.00143719 0.0321288 0.00204067 0.00773862 0.00123351 472.151
270000 114351 108410 222761 0.00144592 0.0321109 0.00205174 0.00781619 0.0012092 472.924
280000 115560 109666 225226 0.00145021 0.0321147 0.00206571 0.00789534 0.00120822 474.112
290000 117092 111236 228328 0.00145963 0.0321119 0.00209513 0.00810694 0.00129392 477.69
300000 119522 113525 233047 0.0014776 0.0321127 0.00212954 0.00829961 0.00134194 481.143
310000 120677 114769 235446 0.00148758 0.0321122 0.0021507 0.00843626 0.00131284 482.848
320000 121281 115521 236802 0.00149091 0.0321118 0.00215967 0.00849807 0.00127476 483.462
